"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
1	"Asafu-Adjaye J., Mahadevan R."	"(Asafu-Adjaye and Mahadevan, 2009)"	"Regional trade agreements versus global trade liberalisation: Implications for a small island developing state"	2009	"World Economy"	"10.1111/j.1467-9701.2008.01117.x"	"https://doi.org/10.1111/j.1467-9701.2008.01117.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,liberalization"	"RDG"	""	"2018"	"Fiji I-O database"	NA	2	"Fiji,Rest of World"	NA	36	"No"	""	""	""	""	""	"GEMPack"	""	"ambiguous"
2	"Blasco L., Devadoss S., Stodick L."	"(Blasco et al., 2009)"	"A general equilibrium analysis of the effects of Doha Round Declaration and African Cotton Initiative on Zambian cotton sector"	2009	"Journal of International Trade and Economic Development"	"10.1080/09638190902757467"	"https://doi.org/10.1080/09638190902757467"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Lofgren"	"2001"	"2001 Zambia SAM"	NA	2	"Rest of World,Zambia"	NA	1	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
3	"Böhringer C., Löschel A., Moslener U., Rutherford T.F."	"(Böhringer et al., 2009)"	"EU climate policy up to 2020: An economic impact assessment"	2009	"Energy Economics"	"10.1016/j.eneco.2009.09.009"	"https://doi.org/10.1016/j.eneco.2009.09.009"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,green quotas"	"SG"	"PACE"	"2030"	"GTAP7"	113	12	"ANZ,Brazil,Canada,China,Europe,India,Indonesia_Malaysia_South Korea,Japan,Mexico,Rest of World,Russia/FSU,United States"	57	17	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
4	"Boumellassa H., Valin H."	"(Boumellassa and Valin, 2009)"	"Vietnam's accession to the WTO: Ex post evaluation in a dynamic perspective"	2009	"Economie Internationale"	""	"https://ideas.repec.org/a/cii/cepiei/2009-2ta.html"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization,technological change"	"RDG"	"MIRAGE"	"2015"	"GTAP6.2"	96	11	"ANZ,China,Europe,Japan,Rest of America,Rest of Asia,Rest of World,SEA,South Korea,United States,Vietnam"	57	26	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
5	"Bussolo M., Niimi Y."	"(Bussolo and Niimi, 2009)"	"Do Regional Trade Pacts Benefit the Poor? An Illustration from Dominican Republic-Central American Free Trade Agreement in Nicaragua"	2009	"World Development"	"10.1016/j.worlddev.2008.02.005"	"https://doi.org/10.1016/j.worlddev.2008.02.005"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related,liberalization"	"SG"	""	"2000"	"2000 Nicaragua SAM"	NA	2	"Nicaragua,Rest of World"	NA	39	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
6	"Carbone J.C., Helm C., Rutherford T.F."	"(Carbone et al., 2009)"	"The case for international emission trade in the absence of cooperative climate policy"	2009	"Journal of Environmental Economics and Management"	"10.1016/j.jeem.2009.01.001"	"https://doi.org/10.1016/j.jeem.2009.01.001"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	""	"2015"	"GTAP5"	66	6	"China,Japan,Rest of World,Russia/FSU,United States,Western Europe"	57	7	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
7	"Chen K.-M., Tsai M.-C., Lin C.-C., Tu C.-H."	"(Chen et al., 2009)"	"Impact of cross-strait trade liberalization: A computable general equilibrium analysis"	2009	"China and World Economy"	"10.1111/j.1749-124X.2009.01176.x"	"https://doi.org/10.1111/j.1749-124X.2009.01176.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	"FTAP"	"2004"	"GTAP7"	113	7	"China,Hong Kong,Japan,Rest of World,SEA_South Korea,Taiwan,United States"	57	2	"No"	""	""	""	""	""	"unspecified"	""	"No"
8	"Cling J.-P., Marouani M.A., Razafndrakoto. M., Robiluard A.-S., Roubaud F."	"(Cling et al., 2009)"	"The distributive impact of Vietnam's accession to the WTO"	2009	"Economie Internationale"	""	"http://www.cepii.fr/IE/rev118/ei118b.htm"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"IFPRI"	"2000"	"2000 Vietnam SAM"	NA	2	"Rest of World,Vietnam"	NA	31	"Yes"	"microsimulation"	"microsimulation"	"economy"	"loose"	"Coupled model uses CGE/PE output"	"GAMS"	""	"No"
9	"Cova P., Pisani M., Rebucci A."	"(Cova et al., 2009)"	"Global imbalances: The role of emerging Asia"	2009	"Review of International Economics"	"10.1111/j.1467-9396.2009.00845.x"	"https://doi.org/10.1111/j.1467-9396.2009.00845.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"net foreign asset increase,production/productivity change"	"IDG"	""	"2007"	"World Economic Outlook"	NA	5	"China_Hong Kong_India_Malaysia_Philippines_Singapore_South Korea_Taiwan_Thailand,Europe,Japan,Rest of World,United States"	NA	2	"No"	""	""	""	""	""	"unspecified"	""	"No"
10	"Dillen K., Tollens E., Demont M."	"(Dillen et al., 2009)"	"Global welfare effects of GM sugar beet under changing EU sugar policies"	2009	"AgBioForum"	""	"https://mospace.umsystem.edu/xmlui/handle/10355/1425"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"agriculture related"	"SP"	"EUWABSIM"	"2015"	"FAO, European Commission"	NA	3	"Europe,ROW sugar beet,ROW sugar cane"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
